X,Y,Z,Name,Description,gx_media_links,Suburb,Careful,Coffs Harbour,FYI,Info,NOTE,Note2,Sands,Sans Souci,Thanks to,Tweed Heads West,Warning,Wiley Park
150.9052661,-33.7668378,0,Blacktown: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAVgJ8wItpICRSgtEYGq-ANET_oRq_VX9fIzKNxg8houkK9nxNbngQ68QiCMk_PHQ8XnoOvtT4pqpv1TCBuWDwjEUFkHLLWBZDpMsH1x1H2griIMui7FpIV5lwpUQ_pY4dXMVpgkkxV52z9PtT5qYQfG_CdVx84g0Q51XqgqnuXUQ6sdBaYUMTGbkl1R0RxbB-gxHZg?authuser=0&fife=s16383,,,,,,,,,,,,,
150.911044,-33.765594,0,Blacktown: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAXjiyjZRJAMz92Ha-H2L3-lniBivAx1N_bZBYcGLHPHlpl4JfkWPyquTJElKjdz9tmp5hdY9nWcU1jtq2gRQgbaBD6Yv-Pe3ldkHS_ceLOMyls4eCxQcrE_3uw2Gmv0WoSfWQQVNcS4NnKjTBOrT6G6PCJpZg4xPO6MZRDn88muJLftfp-bC3LtM52KoNKZUZN0MAo?authuser=0&fife=s16383,,,,,,,,,,,,,
151.1092186,-33.9834118,0,Blakehurst: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAU7oXdgK7zx95DXycSDnrMKOm1CQXW4G0i4kXJ41ONcVF8xutwlYnGgI2q7ObeZ1SQ7JjtrD3OkL1SQd77mOxePCph2ttVHjRaPTgI3zBlWK4Vd7-Y4pzdMTfrJZCTGhQiEe8VRLRXra9TKWHi_oC5SshdKIQFTE32-Uq9VqHKFFP1LWAzss48VsmDDSaaJIR6lZFc?authuser=0&fife=s16383,,,,,,,,,,,,,
151.2534921,-33.8909801,0,Bondi Junction: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAWnS22_uiIUQfarMn38dl8xoqzH8t6RCB2V8zI3sQBdpeRhiqfSBZWwJ_K3sdQosogGzps5cNMfme5eSzhWUYZl2SH5l_n2yKaYgd0f4OUj9WgcBp6KwmQz5JmIvmb8QNee60z4Tb9qFWroRwo8pWZwCmJLpM1D3FPzcwEiphdkWt1cvsMJ9cjPJTiBDkTib1pmDco?authuser=0&fife=s16383,,,,,,,,,,,,,
151.105418,-33.868908,0,Burwood: Red-Light Speed Cameras,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAWNFI8ULBixAVXi3tI8dnBJeLlZ2rcVfX_0yI1QKVEySaM-jVqP5nBpf-KA8F4mGwAhFCV7L0VB2ZhjggOaLFvX4DxF-j6n7uHBJ3tjA7VWEjlUxG40fYKSxSB6r3N4jDAmQYXYG4F229_x1FdTuIsABrqaPIo7Kurz_1_ynYeCeko_ZXNy5j85qk2L7DPuJE3HcKQ?authuser=0&fife=s16383,,,,,,,,,,,,,
151.103696,-33.877435,0,Burwood: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAVeVTVe8rOZtlK7CBBzdY5epeBiTFQxTuGI7zBbioslwJPGCFJhjMRnzY1m5aNeB-qWhv_pdKY9DHfNddMgcuDHa0KfLPuRfV20eqIgVroabP-ga9teeA_xiO8ui_i9Tto_LIfAUIfsdSvEHVfQPdNWEWnou-WGJPyvPsbyWAdi7twTARisIopPGa6E70TZC-Pxfog?authuser=0&fife=s16383,,,,,,,,,,,,,
150.919171,-33.899445,0,Cabramatta West: Red-Light Speed Cameras,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAVmUY_vuunj45JNN-Wbm5maaXDzt2hRFNFHigBOtupj5XFrCurRzmJ05jY3eAv7r2DC2Jg-jbNqWnSvbAaixicn6tl-4hWcwYI5fgKB4lm93sFaCURt0G8ccG8I5JDyQRosmXBT6AE6H3SO02sQdL5TmgrShw_HV-eTG2Jj46JIP14zx63wGnCt50TtokcAj6fWqPI?authuser=0&fife=s16383,,,,,,,,,,,,,
150.81962,-34.06657,0,Campbelltown: Red-Light Speed Cameras,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAUXgQB-Ko5MkgHfqHGsQqkcEPJjKpRhVGlro9XXo01srJRfc6BTlPotXHFb2wsOb1Q5FHssKCYI1y07omWWmV2xMidMfD5TpNeNx4A1Y75rUkKgxxzM1vU1QL11sNAh75YMeHTF0_GbI5VOYunaflRZKU616ljyLYl6-LXi19Tri0cgBQWIWBqM9DJUeV_NVll0ZPw?authuser=0&fife=s16383,,,,,,,,,,,,,
150.805555,-34.072193,0,Campbelltown: Red-Light Speed Cameras,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAVRkhWOICJcl6k2UdC-jgCvv5ZytTmWyqYTpl6pgt7T6IfRJdf5NaIaBNDk_BFXXviwZJgn6dHvNlQv5ruchGDtV2kmIWc-qI150D-Ekp67-HnWOtqvR_VLtq9JRdyYBOLXNQSjC57IA8IoeaVV8yGc0FoWWb4Od1M6RuhIKF6uu2aTeElPFtdf0hL2ILPJAUjAxec?authuser=0&fife=s16383,,,,,,,,,,,,,
150.808342,-34.074904,0,Campbelltown: Red-Light Speed Camera,,https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAVU7-B2WxBG8Z1N9L1UeNijUhdlOSSCiINgr_m3jSf8lS9XN8n_XJP4wS7W7LPRHR9xLJb0R5PqyjbosqF-_5CradnQf_d7H0jMoUJqM91Fug33GmGXsnAGk49FzSUub_z5YQaV4Nb6qUb_gO6lVLOM-MFOImCs_LLZDRPqhRhMm3fq4Ydz5iCUPGsr-2tDL1f8zPY?authuser=0&fife=s16383,,,,,,,,,,,,,
